[info]: OpenGL backend
[info]: Vendor: AMD
[debug]: profiler block update_sound: (148757 cycles, 1 calls)
[debug]: profiler block move_entity: (9379503 cycles, 1 calls)
[debug]: profiler block update game: (9391168 cycles, 1 calls)
[debug]: profiler block update_sound: (105203 cycles, 1 calls)
[debug]: profiler block move_entity: (9675172 cycles, 1 calls)
[debug]: profiler block update game: (9689204 cycles, 1 calls)
[debug]: profiler block update_sound: (108535 cycles, 1 calls)
[debug]: profiler block move_entity: (8126864 cycles, 1 calls)
[debug]: profiler block update game: (8140377 cycles, 1 calls)
[debug]: profiler block update_sound: (105675 cycles, 1 calls)
[debug]: profiler block move_entity: (8539167 cycles, 1 calls)
[debug]: profiler block update game: (8554818 cycles, 1 calls)
[debug]: profiler block update_sound: (119458 cycles, 1 calls)
[debug]: profiler block move_entity: (5582527 cycles, 1 calls)
[debug]: profiler block update game: (5596421 cycles, 1 calls)
[debug]: profiler block update_sound: (106436 cycles, 1 calls)
[debug]: profiler block move_entity: (5629181 cycles, 1 calls)
[debug]: profiler block update game: (5640794 cycles, 1 calls)
[debug]: profiler block update_sound: (125588 cycles, 1 calls)
[debug]: profiler block move_entity: (5782137 cycles, 1 calls)
[debug]: profiler block update game: (5795409 cycles, 1 calls)
[debug]: profiler block update_sound: (251352 cycles, 1 calls)
[debug]: profiler block move_entity: (4349961 cycles, 1 calls)
[debug]: profiler block update game: (4362645 cycles, 1 calls)
[debug]: profiler block update_sound: (104451 cycles, 1 calls)
[debug]: profiler block move_entity: (4134556 cycles, 1 calls)
[debug]: profiler block update game: (4148176 cycles, 1 calls)
[debug]: profiler block update_sound: (108574 cycles, 1 calls)
[debug]: profiler block move_entity: (2774193 cycles, 1 calls)
[debug]: profiler block update game: (2785343 cycles, 1 calls)
[debug]: profiler block update_sound: (105571 cycles, 1 calls)
[debug]: profiler block move_entity: (1547103 cycles, 1 calls)
[debug]: profiler block update game: (1562277 cycles, 1 calls)
[debug]: profiler block update_sound: (107395 cycles, 1 calls)
[debug]: profiler block move_entity: (3004189 cycles, 1 calls)
[debug]: profiler block update game: (3021832 cycles, 1 calls)
[debug]: profiler block update_sound: (106009 cycles, 1 calls)
[debug]: profiler block move_entity: (4421862 cycles, 1 calls)
[debug]: profiler block update game: (4437553 cycles, 1 calls)
[debug]: profiler block update_sound: (113534 cycles, 1 calls)
[debug]: profiler block move_entity: (4191709 cycles, 1 calls)
[debug]: profiler block update game: (4203587 cycles, 1 calls)
[debug]: profiler block update_sound: (109006 cycles, 1 calls)
[debug]: profiler block move_entity: (4012995 cycles, 1 calls)
[debug]: profiler block update game: (4026601 cycles, 1 calls)
[debug]: profiler block update_sound: (111776 cycles, 1 calls)
[debug]: profiler block move_entity: (5469365 cycles, 1 calls)
[debug]: profiler block update game: (5482421 cycles, 1 calls)
[debug]: profiler block update_sound: (103268 cycles, 1 calls)
[debug]: profiler block move_entity: (5454435 cycles, 1 calls)
[debug]: profiler block update game: (5467935 cycles, 1 calls)
[debug]: profiler block update_sound: (104960 cycles, 1 calls)
[debug]: profiler block move_entity: (5417161 cycles, 1 calls)
[debug]: profiler block update game: (5431056 cycles, 1 calls)
[debug]: profiler block update_sound: (104097 cycles, 1 calls)
[debug]: profiler block move_entity: (5440242 cycles, 1 calls)
[debug]: profiler block update game: (5455877 cycles, 1 calls)
[debug]: profiler block update_sound: (121648 cycles, 1 calls)
[debug]: profiler block move_entity: (5426933 cycles, 1 calls)
